Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
81. Cyborg,https://www.imdb.com/title/tt0097138/?ref_=sr_t_81,1989,1h 26m,R,5.0,35K,500000.0,10166459.0,10166459.0,3179811.0,['Albert Pyun'],['Albert Pyun'],"['Jean-Claude Van Damme', 'Deborah Richter', 'Vincent Klyn']","['B-Action', 'Action', 'Sci-Fi', 'Thriller']",['United States'],"['Wilmington, North Carolina, USA']","['Cannon Entertainment', 'Golan-Globus Productions']",['English'],0,0,0,1989
82. Henry V,https://www.imdb.com/title/tt0097499/?ref_=sr_t_82,1989,2h 17m,PG-13,7.5,32K,9000000.0,10161211.0,10161099.0,64933.0,['Kenneth Branagh'],"['William Shakespeare', 'Kenneth Branagh']","['Kenneth Branagh', 'Derek Jacobi', 'Simon Shepherd']","['Historical Epic', 'Tragedy', 'War Epic', 'Biography', 'Drama', 'History', 'War']",['United Kingdom'],"['Crowlink, East Sussex, England, UK']","['Renaissance Films', 'British Broadcasting Corporation (BBC)']","['English', 'French', 'Latin']",0,13,0,1989
83. Tap,https://www.imdb.com/title/tt0098442/?ref_=sr_t_83,1989,1h 51m,PG-13,6.6,1.9K,,9114702.0,9114702.0,2217150.0,['Nick Castle'],['Nick Castle'],"['Gregory Hines', 'Suzzanne Douglas', 'Sammy Davis Jr.']","['Comedy', 'Drama', 'Music']",['United States'],"['New York City, New York, USA']","['Beco Films', 'TriStar Pictures']",['English'],0,3,0,1989
84. Warlock,https://www.imdb.com/title/tt0098622/?ref_=sr_t_84,1989,1h 43m,R,6.2,20K,7000000.0,9094451.0,9094451.0,780360.0,['Steve Miner'],['David Twohy'],"['Julian Sands', 'Lori Singer', 'Richard E. Grant']","['Supernatural Horror', 'Witch Horror', 'Action', 'Fantasy', 'Horror', 'Thriller']",['United States'],"['Hansen Agricultural Research and Extension Center/The Faulkner Farm - 14292 W. Telegraph Rd., Santa Paula, California, USA']",['New World Pictures'],['English'],0,8,0,1989
85. Renegades,https://www.imdb.com/title/tt0098188/?ref_=sr_t_85,1989,1h 46m,R,5.4,4.1K,16000000.0,9015164.0,9015164.0,3075030.0,['Jack Sholder'],['David Rich'],"['Kiefer Sutherland', 'Lou Diamond Phillips', 'Jami Gertz']","['Dark Comedy', 'Action', 'Crime', 'Drama', 'Thriller']",['United States'],"['Camp Samac Oshawa, Ontario, Canada']","['Morgan Creek Entertainment', 'Interscope Communications']","['Japanese', 'English']",0,0,0,1989
86. Scandal,https://www.imdb.com/title/tt0098260/?ref_=sr_t_86,1989,1h 46m,R,6.4,5.7K,7000000.0,8800000.0,8800000.0,658660.0,['Michael Caton-Jones'],['Michael Thomas'],"['John Hurt', 'Joanne Whalley', 'Bridget Fonda']","['Drama', 'History']",['United Kingdom'],"['Lancaster Gate, Bayswater, London, England, UK']","['Filmax', 'British Satellite Broadcasting (BSB)', 'British Screen Productions']",['English'],0,2,0,1989
87. True Believer,https://www.imdb.com/title/tt0098524/?ref_=sr_t_87,1989,1h 48m,R,6.7,5.6K,,8742750.0,8742750.0,3009692.0,['Joseph Ruben'],['Wesley Strick'],"['James Woods', 'Robert Downey Jr.', 'Margaret Colin']","['Crime', 'Drama', 'Mystery']",['United States'],"['Long Island City Queens, New York, USA']","['Columbia Pictures', 'Parkes/Lasker productions']",['English'],0,0,0,1989
88. Troop Beverly Hills,https://www.imdb.com/title/tt0098519/?ref_=sr_t_88,1989,1h 45m,PG,5.9,12K,18000000.0,8508843.0,8508843.0,2283443.0,['Jeff Kanew'],"['Ava Ostern Fries', 'Pamela Norris', 'Margaret Oberman']","['Shelley Long', 'Craig T. Nelson', 'Betty Thomas']","['Adventure', 'Comedy']",['United States'],"['Big Bear City, San Bernardino National Forest, California, USA']","['Weintraub Entertainment Group', 'Fries Entertainment', 'Avanti Film Productions']",['English'],0,0,0,1989
89. Cheetah,https://www.imdb.com/title/tt0097053/?ref_=sr_t_89,1989,1h 23m,G,5.9,1.2K,5000000.0,8153677.0,8153677.0,2636118.0,['Jeff Blyth'],"['Alan Caillou', 'John Cotter', 'Erik Tarloff']","['Keith Coogan', 'Lucy Deakins', 'Colin Mothupi']","['Adventure', 'Drama', 'Family']",['United States'],"['Nairobi, Kenya']","['Walt Disney Pictures', 'Silver Screen Partners III']",['English'],0,0,0,1989
90. DeepStar Six,https://www.imdb.com/title/tt0097179/?ref_=sr_t_90,1989,1h 39m,R,5.3,14K,8000000.0,8143225.0,8143225.0,3306320.0,['Sean S. Cunningham'],"['Lewis Abernathy', 'Geof Miller']","['Greg Evigan', 'Nancy Everhard', 'Taurean Blacque']","['Kaiju', 'Action', 'Horror', 'Sci-Fi', 'Thriller']",['United States'],"['Los Angeles, California, USA']","['Carolco Entertainment', 'Carolco Pictures']",['English'],0,0,0,1989
91. Dead Bang,https://www.imdb.com/title/tt0097166/?ref_=sr_t_91,1989,1h 42m,R,6.1,4.7K,14500000.0,8125592.0,8125592.0,2847690.0,['John Frankenheimer'],"['Robert Foster', 'Jerry Beck']","['Don Johnson', 'Penelope Ann Miller', 'William Forsythe']","['Action', 'Crime', 'Drama', 'Thriller']",['United States'],"['Drumheller, Alberta, Canada']",['Lorimar Film Entertainment'],"['English', 'Turkish']",0,0,0,1989
92. Dead Calm,https://www.imdb.com/title/tt0097162/?ref_=sr_t_92,1989,1h 36m,R,6.8,45K,10400000.0,7825135.0,7825009.0,2463551.0,['Phillip Noyce'],"['Terry Hayes', 'Charles Williams']","['Nicole Kidman', 'Sam Neill', 'Billy Zane']","['Psychological Thriller', 'Horror', 'Thriller']",['Australia'],"['Great Barrier Reef, Queensland, Australia']",['Kennedy Miller Productions'],['English'],0,6,0,1989
"93. Enemies, A Love Story",https://www.imdb.com/title/tt0097276/?ref_=sr_t_93,1989,1h 59m,R,6.5,2.7K,9500000.0,7754571.0,7754571.0,63636.0,['Paul Mazursky'],"['Isaac Bashevis Singer', 'Roger L. Simon', 'Paul Mazursky']","['Ron Silver', 'Anjelica Huston', 'Lena Olin']","['Dark Comedy', 'Comedy', 'Drama', 'Romance']",['United States'],"['Brooklyn, New York City, New York, USA']",['Morgan Creek Entertainment'],['English'],0,10,3,1989
"94. The Cook, the Thief, His Wife & Her Lover",https://www.imdb.com/title/tt0097108/?ref_=sr_t_94,1989,2h 4m,NC-17,7.5,43K,,8526030.0,7724701.0,252223.0,['Peter Greenaway'],['Peter Greenaway'],"['Richard Bohringer', 'Michael Gambon', 'Helen Mirren']","['Crime', 'Drama']","['Netherlands', 'United Kingdom', 'France']","['Elstree Studios, Borehamwood, Hertfordshire, England, UK']","['Allarts', 'Elsevier-Vendex Film Beheer', 'Allarts Cook']","['English', 'French', 'Dutch']",0,11,0,1989
95. Disorganized Crime,https://www.imdb.com/title/tt0097211/?ref_=sr_t_95,1989,1h 38m,R,6.2,2.7K,,7723506.0,7723506.0,2840166.0,['Jim Kouf'],['Jim Kouf'],"['Hoyt Axton', 'Corbin Bernsen', 'Rubén Blades']","['Dark Comedy', 'Action', 'Comedy', 'Crime']",['United States'],"['Missoula, Montana, USA']","['Touchstone Pictures', 'Silver Screen Partners IV', 'Kouf/Bigelow Productions']",['English'],0,0,0,1989
96. Johnny Handsome,https://www.imdb.com/title/tt0097626/?ref_=sr_t_96,1989,1h 34m,R,6.1,11K,20000000.0,7237794.0,7237794.0,2437642.0,['Walter Hill'],"['John Godey', 'Ken Friedman']","['Mickey Rourke', 'Ellen Barkin', 'Elizabeth McGovern']","['Crime', 'Drama', 'Thriller']",['United States'],"['Louisiana State Penitentiary, Angola, Louisiana, USA']","['Carolco Pictures', 'The Guber-Peters Company']",['English'],0,0,0,1989
97. Relentless,https://www.imdb.com/title/tt0098184/?ref_=sr_t_97,1989,1h 32m,R,5.9,2K,4000000.0,6985999.0,6985999.0,2838177.0,['William Lustig'],['Phil Alden Robinson'],"['Judd Nelson', 'Robert Loggia', 'Leo Rossi']","['Crime', 'Thriller']",['United States'],"['884 Palm Avenue, Hollywood, Los Angeles, California, USA']","['Cinetel Films', 'Out of The Dark Productions']",['English'],0,0,0,1989
98. Roger & Me,https://www.imdb.com/title/tt0098213/?ref_=sr_t_98,1989,1h 31m,R,7.5,28K,160000.0,7706368.0,6706368.0,80253.0,['Michael Moore'],['Michael Moore'],"['Michael Moore', 'Roger B. Smith', 'Rhonda Britton']","['Political Documentary', 'Documentary']",['United States'],"['Detroit, Michigan, USA']","['Dog Eat Dog Films', 'Warner Bros.']",['English'],0,0,0,1989
